Easting,Northing
531670,181680
533020,181100
532670,181200
532670,181200
532700,181130
531800,181150
533290,181590
531650,181000
531910,181130
531650,180730
531460,180840
531650,181060
533430,181050
532160,181240
532160,181240
531620,181180
531390,180830
531390,180830
533030,181460
531380,181180
531640,180920
533200,181140
533360,181750
531720,181450
533110,180670
532550,181150
532100,182010
531650,181120
531650,181120
532750,181060
533152,181354
532130,181720
533320,180710
533030,180680
532970,180960
532310,180980
533300,181130
532590,180930
531620,180870
533680,180900
532280,181030
531600,181340
531990,180940
532720,181160
533490,181140
532550,181150
533640,181210
533200,181460
532370,181570
531620,181170
532880,181730
532880,181730
532870,180780
531710,180830
533260,181560
531640,181180
531640,181180
531390,180990
531630,181160
532970,180960
533370,181140
533380,181930
532180,181050
533100,181590
531570,181570
533060,181460
533290,181600
531570,181570
531420,181570
530940,181620
532980,181220
533040,181130
533420,181050
533110,180820
531730,181450
532320,181190
533210,181440
533210,181440
531630,181340
531590,181450
531630,181180
531170,181120
532430,180840
533550,180940
532750,181640
532470,181160
531650,181180
531650,181180
533240,181530
533080,181470
533080,181470
532169,181587
531810,180950
532930,181510
531030,181620
532380,180990
533070,181460
532750,180720
531200,180830
531390,180820
533100,181590
531980,180940
533290,181600
533290,181600
533370,181130
532680,181570
531990,180940
532680,181370
533250,181530
531640,181230
532150,181430
532650,181110
531660,180930
533150,181350
533330,180700
533500,181120
532590,181090
533220,180660
532530,181290
532030,181410
531640,181070
532850,180860
531290,181160
531390,180820
531390,180820
532840,180860
531800,181400
531630,180840
532185,181560
533420,181050
533010,180670
532710,181570
532110,181850
532110,181850
533070,181460
533270,181550
533610,181190
531640,181060
533720,181290
532970,180970
532900,181120
532150,181593
532070,181570
532100,181840
533070,181460
531640,180990
533110,180920
533070,181240
531860,181710
531650,180990
533680,180900
531570,181520
531640,180990
531640,180990
532650,181110
532970,180960
533020,181050
531750,181170
533210,181430
533600,181180
533220,180940
531100,181610
532770,181780
532770,181780
531790,181820
533740,180450
531653,180605
531650,180540
531650,180540
527610,181430
527310,179690
524540,182340
527190,182800
527871,181954
530390,180270
530390,180270
530390,180270
525650,180820
525650,180820
530000,178340
529090,178990
525400,182380
525130,182040
525130,182040
526730,183290
528960,181490
530070,180360
527988,181764
523850,182490
524940,181740
527866,181629
528490,179960
529190,181110
531010,180790
529970,180820
527984,181018
529855,180461
528750,178880
528970,178860
530750,180690
528870,180870
529630,179240
528320,179850
528450,181100
528370,180190
528030,181090
524620,182300
530828,181050
529070,178420
530290,179660
530010,178530
529370,178015
530160,179670
528314,179722
529450,180580
528450,178490
529523,180423
529523,180423
529523,180423
527030,182080
529200,180800
529200,180800
526060,182830
527740,181000
526030,181120
529050,178920
528440,179870
528320,179490
526290,182550
528350,181130
528350,181130
525580,182520
525280,181380
528344,180249
530530,181100
528400,181300
527000,182940
529520,181330
527760,181930
525930,183010
528240,180530
527790,181850
525140,182310
527240,181490
526130,180620
528330,179240
527380,181540
528900,180740
530190,180810
530070,180310
529130,180320
524860,182150
528140,181220
528930,180240
525470,183130
524410,182360
528010,180670
529700,180840
530010,180630
526300,183840
530190,179270
529610,180680
524650,182280
528590,182120
526640,182260
527290,181450
529540,179130
530200,178560
528030,181090
524930,181430
525600,181140
528130,182030
528250,182070
528250,182070
525910,180990
529120,181250
527250,182130
528522,179589
528522,179589
530000,180650
529114,179768
528260,182070
528283,179831
528980,180820
528020,180740
529900,179580
528650,179420
527140,181170
528984,180833
529810,179690
529720,181360
528360,181210
528350,179220
529815,178397
528040,181040
529690,180340
529670,181080
528390,181290
528951,181466
528400,178410
529770,178480
525820,182200
526770,179660
526840,181120
526630,182140
526010,182850
528380,181089
528290,179520
528290,179520
529970,180840
525760,181640
529090,181060
530080,180920
527935,180711
525300,181380
525300,181380
525140,182040
527610,179770
526830,182470
528350,179750
528280,179670
528590,181490
527850,180890
529690,180860
529690,180860
529850,181210
527910,181970
528230,178410
530110,180360
528931,179107
527780,181140
527780,181140
530480,180450
529710,180310
529710,180310
529580,180760
530130,180140
528790,180630
528790,180630
528880,181130
525670,182190
529974,180817
525200,182500
528975,180811
526830,182470
529890,179480
529310,181600
524780,182170
524780,182170
526550,181040
529970,180740
527350,181770
527350,181770
528190,183560
528860,179120
527470,179677
530140,180480
530140,180480
530350,180940
525233,181555
528940,179090
528240,179310
526180,181780
528340,178520
528650,179420
528040,182010
528040,182010
529060,181230
529060,181230
529590,179010
528708,179343
529660,181350
526970,180820
525900,183410
529740,180140
529429,177902
528030,181670
527120,181010
528290,180290
527480,181270
527150,181410
526544,181817
527423,179683
527423,179683
529650,180640
527660,181080
529480,181230
529700,180690
529700,180690
527030,181680
530370,180650
528850,177930
529380,180530
530380,180670
530380,180670
530380,180670
530380,180670
530380,180670
527290,181050
527060,181320
530240,180760
530240,180760
530240,180760
530240,180760
527157,181603
528320,180260
528320,180260
528320,180260
528320,180260
530130,180460
527430,179550
527430,179550
527430,179550
530640,180952
529190,181270
529480,177890
530330,181100
526560,179680
530090,180180
529350,181190
525610,182540
527510,182450
529070,180760
527910,181970
527357,182256
528740,178430
528560,179540
526520,181620
526710,181230
529112,180988
525910,180590
526840,182230
527257,181490
529910,181030
529920,180470
528510,179840
528970,182050
530320,180620
525820,182200
526410,179620
529000,180300
528843,180359
530165,179516
529620,180940
528190,181050
528587,182134
526400,179630
528337,181086
530850,180960
526220,182580
527900,179740
528627,180814
529210,180820
530170,179670
526752,182032
526752,182032
528140,181040
527300,181910
527300,181910
528970,180270
529210,180850
526050,182180
530220,180540
526250,181440
526370,183870
527995,181983
527160,182830
526330,181800
526240,182610
529790,180410
525060,182050
526360,180680
529500,179020
529030,181150
526370,180680
529810,180190
529030,180890
528520,179800
528970,181830
527880,182230
527840,180890
527595,181173
530157,179587
527440,182030
524000,182930
526820,181970
529410,181220
527535,181208
528760,178850
526930,182030
527370,181800
528200,181050
526780,181990
528340,180420
528340,180420
526600,180740
527760,179700
526650,179450
526650,179450
529705,180359
529895,180403
526820,179270
527420,183100
530130,180060
525890,180580
525890,180580
527180,181140
528570,182120
527870,182140
524810,182150
528675,178688
525140,182240
529080,180840
527390,181950
528830,181180
528850,182200
527790,179690
527440,183380
527850,180990
526150,181370
528620,177940
525540,181760
523840,182590
527420,179680
526970,182720
527940,180690
525410,182380
525410,182380
525410,182380
526790,181980
526790,181980
527650,182360
524910,182090
527960,180780
527960,180780
528830,181660
528830,181660
525470,181830
525470,181830
525470,181830
525470,181830
525470,181830
529150,178600
527390,181960
530220,180330
528330,181080
529370,178100
529370,178100
525500,180760
526240,181260
529850,180910
530240,178940
528980,181360
528980,181360
526480,181010
527800,181110
527800,181110
529040,180900
529970,180770
529250,180760
529620,179640
526400,179630
530620,180800
531080,180800
528413,182101
528413,182101
528980,179430
527590,181480
530340,180310
525920,180590
527410,181920
526250,180640
525490,181140
527030,183340
530900,180990
530090,180180
528760,180850
525960,181280
525960,181280
528590,179510
528590,179510
527450,181810
528850,181190
530060,179620
528120,180790
528430,180310
528430,180310
525400,181950
526340,181690
527850,180990
528770,181860
529540,180660
526950,180220
528820,179780
526930,181310
528860,181190
528860,181190
527570,181160
529250,181570
529250,181570
526970,181790
528940,178520
526540,181070
526980,181250
529760,179390
526140,180620
526910,181050
526910,181050
528880,181970
529910,181050
528413,182088
528390,181870
528390,181870
530120,180840
530120,180840
529560,181500
526870,181910
530400,180270
530150,179650
528130,179390
528130,179390
527400,182780
529100,181150
528850,181200
528850,181200
528240,181060
528900,181750
527360,181360
529240,180760
530640,180960
526390,181400
529970,178540
529750,180490
525870,180800
527420,179670
525770,182250
526920,181430
529970,180820
526850,181120
530220,179120
530220,179120
526870,181380
526870,181380
528620,181360
525350,181990
527930,181960
524680,182260
530340,179660
531020,180790
527010,181750
526960,182710
529550,181100
529250,179200
527930,181010
530150,179790
529570,180970
528080,180630
527520,182650
529460,179950
528690,180960
526560,182210
529994,178271
526020,182860
529060,181090
529060,181090
529060,181090
529060,181090
529060,181090
529980,180690
529040,179780
529020,180310
526350,183260
528350,179210
530130,180100
530580,180640
530630,180800
526130,182520
529140,179550
529770,180390
528730,179300
524860,181970
529440,179180
525860,180820
529460,177910
530050,180500
530050,180500
528760,179220
525760,181600
528700,179320
529970,178320
528270,182070
527950,181970
529350,178730
526410,179610
526240,181260
526240,181260
529910,180470
528840,181190
530560,180880
530250,178980
529520,180630
527980,180730
530640,180620
528870,180190
529240,180670
528350,181090
526750,182550
526750,182550
530960,180790
530230,178990
528610,182130
529180,179560
530320,179660
529450,179950
528440,181100
526670,180830
528670,178410
527030,181710
528530,179260
530790,180730
530540,181090
528420,179670
527540,181040
527470,181820
528390,180720
525800,183170
527650,182310
529010,181570
530140,178450
529650,181340
529650,181340
528110,182030
527990,181230
526830,183150
525810,181360
528860,177930
530042,180355
525410,181120
526110,180720
526110,180720
529520,181150
530080,180880
529430,177890
524190,182970
525340,181990
529050,178910
530240,178970
526990,183180
530070,180460
528730,181970
527240,180880
528910,182180
528910,182180
530090,180430
530090,180430
529450,178660
527760,183540
529630,178310
526860,181910
526860,181910
526420,180690
530000,180340
530620,180910
527120,181630
527080,181580
527300,183160
527290,181460
526480,181010
527880,180860
530050,180390
528540,178470
527590,181300
528033,180652
530570,180800
525810,183170
525140,182520
527190,181850
526910,181040
529450,178970
530220,179660
530220,179660
524630,182310
525400,181930
526870,180750
530180,179410
525560,181740
530040,180610
528140,181040
528010,181030
527710,181770
528580,179530
528290,179840
528770,179210
527120,181630
527120,181630
527120,181630
528570,181930
526640,182140
530240,178990
529900,181060
529900,181060
528370,181590
525540,181760
525540,181760
523890,182890
528810,179040
528600,178570
530150,179560
526130,181370
530710,181030
528370,179740
527050,180560
529050,181100
528200,182040
525800,181370
529200,180660
528020,179760
527520,182440
525480,183120
527730,179680
524810,182150
530390,179660
531140,180810
526280,179620
528600,177935
526340,179620
526120,179660
525330,181100
526390,179630
528150,178770
524930,181420
526500,179640
526130,179650
529200,181540
530620,180840
525790,181200
530150,179910
530660,180650
525670,182190
528520,181110
528850,181190
526950,181490
525580,181720
527540,181040
525200,182510
529070,180490
530110,180450
529700,181010
526840,181120
524110,182410
528410,179900
527300,183150
530050,180580
526020,181470
527340,181630
530300,179680
530230,178970
529970,180870
529030,180320
527530,183280
526970,182000
530250,178970
529460,180390
529460,180390
528230,182180
529150,181260
529690,180860
523920,182470
527930,181410
525960,181690
526830,181940
526830,181940
528900,180490
528580,182130
528630,181240
527310,181430
526720,182060
528260,181060
528640,179790
526140,181370
527090,181470
528510,182100
527950,181160
526970,180990
529830,180190
528940,180920
528550,181300
529790,180400
529940,179210
529940,179210
526480,182330
527840,181710
527840,181710
529000,181360
528590,182290
527860,182150
528030,181030
528030,181030
530130,178980
530320,180640
529290,180690
530990,180790
526400,179630
529980,178780
526120,180620
528230,182190
525160,182250
528520,181120
526737,181698
524860,182600
529760,180900
526610,182240
524320,182390
524960,182160
528230,179820
527840,181710
527840,181710
527840,181710
527660,181070
529430,177890
528020,181020
528080,181450
526390,179630
528840,182200
529030,178690
529530,180620
529530,180620
529124,179548
527590,182400
525900,182920
529010,181230
528620,181510
528620,181510
525410,181120
524950,181720
524950,181720
528520,179590
530390,180290
526090,182070
529980,178980
528360,181090
528750,178860
528930,180330
529760,180700
529550,179090
529060,178920
527050,181170
525750,181650
529420,177890
526490,182300
526230,181410
528360,179760
529120,180980
525910,180990
525790,181200
528410,181090
529940,180950
526630,179640
528410,178860
528980,181370
524010,182430
529430,177900
524980,181970
528340,179990
528370,181090
528690,181260
528440,179880
529460,177910
527560,179680
526840,181120
529430,177900
527450,181820
530140,179670
527170,181510
527540,181850
529440,179360
525420,181960
530170,180340
529440,180630
528200,180420
530020,180360
529640,180930
527470,181260
527470,181260
530410,180300
529250,181140
529380,178050
530330,179930
530330,179930
529330,177860
529100,181020
529370,180140
529610,180970
529470,177910
525130,181510
525130,181510
529020,181160
529850,180970
528490,180230
528890,179210
529430,178890
528910,181750
530160,179670
530340,180080
529930,180390
528320,180220
529680,177980
524910,182090
525550,181750
528980,181360
529590,180750
529950,178290
529430,180640
528090,180560
527040,181720
528630,182140
524960,182160
529510,179250
528070,181730
527480,181260
529760,181170
529250,180760
529890,178980
528280,180310
529780,181020
527590,181710
529040,178580
526730,183290
526730,183290
528690,180620
529330,181400
526830,181110
527090,179690
530450,180390
529540,180250
528930,179310
525850,182290
530070,178390
525637,181697
530860,181040
529850,181210
529850,181210
528740,181160
529620,177950
527170,182810
530080,180390
529800,180940
528830,179060
528830,179060
525410,181980
528220,180390
528610,182300
529100,179160
528490,179080
527320,181920
529330,179430
530390,180280
529750,180900
530640,180840
528350,179770
528960,179380
524870,181880
528570,181920
527029,181712
527029,181712
527029,181712
530170,178980
524860,182950
527370,182590
528750,182180
529330,177860
524880,181860
529130,179770
527230,181140
527630,182540
525340,181990
529850,180970
529900,179380
530870,180760
528330,181640
528700,178760
529820,181050
530140,178460
525760,181620
525760,181620
529940,180950
529940,180950
528850,181190
527910,179720
527910,179720
530780,180710
530660,180650
530030,178240
530030,178240
526580,182200
530160,179630
529274,180871
528860,181320
528860,181320
526000,182080
529620,178530
529440,179370
528870,178490
526900,183070
526900,183070
529020,181230
528330,179490
528330,179490
526110,181830
527570,181160
528050,181030
528050,181030
529110,180380
525380,180920
528220,180390
528880,181970
529820,180200
528080,181440
528510,179850
528230,182180
525230,182290
525230,182290
529960,178290
525080,181500
525080,181500
524130,182480
525760,181610
525870,180760
527340,181650
526550,179640
526550,179640
530440,180360
525820,181330
527910,181980
529830,179360
527040,181930
527540,181040
528670,181150
526110,181350
528770,182180
529400,177880
529030,180330
528980,177910
529890,181000
525960,181280
529080,180360
525580,181720
524770,182180
526840,179250
528770,180990
527200,181640
525230,181550
527770,181920
529650,180680
529710,180350
528700,180050
526570,182870
526570,182870
526570,182870
526570,182870
526570,182870
526570,182870
529310,181170
529200,180850
528240,181060
526140,181370
529580,180720
528530,181120
527390,181960
530160,179670
529740,179270
525700,181660
529880,179690
529900,181020
528800,181180
529220,178840
525570,181730
525250,182010
528100,181040
524910,182090
525480,181830
527570,181540
525920,182780
528230,182180
525970,181910
528580,180920
530340,180310
526140,181370
526140,181370
527090,180930
527140,183300
530070,180420
525800,181360
527800,181120
529170,180340
526490,182310
528560,180640
526300,181320
526550,182970
527800,181110
527800,181110
527800,181110
527800,181110
526860,181370
529030,180890
529930,178460
529930,178460
529930,178460
529930,178460
528110,182030
528110,182030
528060,182010
528060,182010
530030,180350
528670,180020
528310,181880
529120,177880
524850,182020
529010,181560
528980,180270
529850,180970
527040,181930
526750,181700
527200,180860
528590,180800
528350,179210
525140,182240
528230,182180
530000,178390
528520,181700
528520,181700
528330,181270
526576,182875
527290,181450
528700,178730
528700,178730
529620,180940
529620,180940
528440,182240
528830,181180
529000,179110
529730,178450
529190,179182
529230,181560
527210,181050
526370,182290
530990,180830
528330,181510
530370,179660
525650,181850
528440,179500
525750,181530
528320,179250
526790,181990
527450,179680
526160,182550
529820,180200
527940,180690
529620,178540
528550,181340
530290,179660
525550,181150
525600,181740
526360,181140
527440,182520
529350,178150
530160,179660
530410,180820
528012,181030
524740,182200
526720,181420
527920,181960
530150,179580
528350,179220
528350,179220
528350,179220
528350,179220
528350,179220
529630,180670
529630,180670
526130,182520
526130,182520
526130,182520
530220,180330
530220,180330
528290,181620
528330,179850
529060,178890
528930,180770
528930,180770
526760,181280
528340,180040
529390,180160
524970,182070
530640,180950
527020,181740
527780,179690
526750,182550
529410,180170
530150,179650
527860,180820
528010,179350
528820,181650
530270,180500
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
530050,179580
527390,181960
527850,180990
528220,180400
529160,180650
524920,181980
524460,182360
526970,181800
529220,178670
527100,182840
527700,181030
527630,181100
526200,180630
529970,180620
530940,180990
526620,182160
529630,180670
528980,181360
528820,180380
527740,182020
530090,180610
529910,180390
528020,180610
528800,181720
528310,180270
527040,181710
529730,181360
528010,179760
528620,179470
527120,181620
525750,182250
528750,178870
530040,178980
530440,180730
527920,181960
529030,178570
530230,178960
528350,179220
528070,180970
530130,180110
529820,181040
529820,181040
525750,181570
529970,180750
527740,182010
526750,182550
526750,182550
526040,181600
527380,181790
529050,178930
527820,182280
525930,180880
528020,180610
528020,180610
530620,180840
527980,181260
527980,181260
528930,180460
528930,180770
530720,181070
528230,182180
526810,182480
529260,180200
529020,179140
527240,180870
527240,180870
529960,178290
528110,181320
530580,180870
529510,177920
526280,181850
524000,182430
530340,180650
529740,178450
525200,182510
529720,180980
528340,178920
529650,180820
527830,182190
526230,181410
528330,179830
527980,180170
527730,181010
530110,180160
528330,180230
527240,180870
530120,178180
530120,178180
525963,181289
529030,180320
525620,180810
525270,181380
524860,182590
527890,180830
529100,181250
528930,181510
529140,178900
526720,183290
526990,181770
530420,180300
530230,180340
524070,182490
526270,182590
529820,180200
528220,178410
528270,182070
529930,179690
528710,180050
528820,180130
529660,181390
529820,180200
527790,181140
527770,181220
527770,181220
525840,181790
530070,180610
529910,181030
529080,179140
529080,179140
528740,180070
529660,180900
525870,182310
528610,182300
529440,180640
528410,181090
528410,181090
527110,181640
523880,182490
527163,181537
528980,181350
527370,181360
527370,181360
527370,181360
527910,181010
529470,177910
530230,178980
528750,178870
527310,183180
529710,178320
529090,180360
529090,180360
528340,180430
528590,182110
527790,179700
527870,180890
524660,182870
528270,178440
529600,180500
529600,180500
525800,181180
526120,182520
529260,179580
529260,179580
530160,179710
527860,180900
527860,180900
525130,182310
526940,181830
528740,178860
528740,178860
528720,179310
528586,182141
526310,181780
527010,181740
528170,179240
528050,181800
524990,182070
527770,181220
527930,180870
530760,180550
529040,181140
527940,181960
527940,181960
530380,180680
527980,181760
527980,181760
528030,181100
530050,178230
526790,179480
528360,179760
526840,181930
529220,180260
527060,181670
529920,179690
526860,182120
528450,180220
527060,181330
529310,181290
526760,182020
527120,181620
527930,180720
528460,180090
529180,180870
530150,179890
529970,178270
527840,181940
530090,179580
528680,181150
529690,180850
527670,180920
527510,182650
529740,181370
529040,181800
528590,179510
530020,180620
529290,180170
527500,182660
526040,182870
526040,182870
530160,179580
530010,179550
529560,179120
530110,181030
528140,181220
528050,181780
526160,181660
525780,182230
527360,182600
527360,182600
530100,179140
528800,181180
527120,181630
528410,180380
528410,180380
530230,178980
530150,178470
528350,180290
528570,178990
530130,179670
527640,182520
526820,180790
528340,181730
530890,180760
525700,181180
529910,181030
530060,179650
527060,180280
527060,180280
525760,181620
528510,179580
525150,182360
528353,180131
525740,181460
527050,180250
530440,180370
530080,180220
525820,180580
525820,180580
526190,180630
529390,180540
525570,181730
530000,180640
529730,181100
525910,183030
528700,178760
530150,179930
528950,181460
527040,181530
526570,182210
528580,181350
528410,179710
525590,180960
525890,180990
530230,178700
529390,181420
529320,180650
529460,180390
528540,178490
530870,180760
529670,178500
527630,183490
530450,180730
524460,182350
528220,182180
525790,181200
527040,181930
527040,181930
527040,181930
527040,181930
528340,180010
527960,181980
528350,179220
529260,179190
529260,179190
528590,179510
528350,181470
530320,179660
529750,180900
528580,182130
530130,179220
527980,180730
527980,180730
529970,180620
525330,181110
528350,179220
528350,179220
527370,181360
527370,181360
525080,181510
525080,181510
528370,180190
525300,182000
529770,181020
529060,180510
525130,182040
525130,182040
526130,180620
526510,181620
528770,182180
529010,181860
528480,180760
529460,179950
528420,179680
529820,181050
529820,181050
529190,181260
529190,181260
526560,182220
530680,181010
524990,182070
525130,182040
530360,180660
528630,180810
527030,181710
530070,180420
528930,179290
528930,179290
527510,180860
528510,182110
528510,182110
528570,179540
526050,180610
528960,181410
526890,182660
529070,180480
528450,181100
528900,181750
528900,181750
529770,178430
528660,181260
527540,180930
525760,181620
530600,180840
525810,181360
527160,182840
526220,181410
530050,180350
525730,181190
530710,181040
527810,179710
529250,180470
524990,182320
527300,181240
528360,179750
528284,179670
527200,180860
528840,177940
529690,180960
525840,181270
530150,179790
530150,179790
530150,179790
530150,179790
530150,179790
528540,181650
527820,180980
530150,180480
529360,179600
525210,182270
527310,182680
528260,182070
529970,180730
530070,180430
530770,181050
528150,180510
529280,180690
529530,180640
526506,181654
529260,181570
527080,181340
527620,181380
529180,180870
529070,181060
524620,182310
528990,180370
525340,181990
528210,181480
529860,180900
529070,181050
528360,181090
527400,183440
527930,180880
528690,181540
530860,180750
529690,180340
526810,179450
527320,181230
530110,181040
530110,181040
530110,181040
530110,181040
529350,181640
528820,181660
527800,180890
527850,182240
527230,181510
527060,181680
526800,181960
529430,180640
529570,180550
527570,181540
527470,182500
528460,181100
528700,181150
528940,180440
528420,180000
528420,180000
529930,179500
527880,180980
526620,180740
524850,182120
527360,182920
525370,181960
530140,178460
528914,179325
530130,178460
526530,182250
527370,180890
527370,180890
527370,180890
527370,180890
529970,180870
529310,178760
525920,182780
525920,182780
525920,182780
528000,181180
528700,180050
528720,181150
528480,179060
528380,181910
527160,182840
526190,180630
529050,181100
529050,181100
529050,181100
525280,181330
525280,181330
525280,181330
527230,181510
528810,180470
530230,178980
528840,182190
528840,182190
529190,179690
529110,180990
528780,179190
527250,181480
527250,181480
528040,180610
528820,179030
528820,179030
526770,181200
526390,180680
528050,181030
529970,180750
529920,178260
528380,180190
530600,180830
527390,181340
527200,182840
527030,181710
527220,182280
524841,182060
527350,181800
527510,181220
527440,181410
528040,179760
528000,179340
527840,181000
527750,181290
528110,180850
528350,181520
528430,181100
527810,179710
527240,181500
527240,181500
526880,181380
529720,178430
528760,182190
528980,181360
528980,181360
529100,181010
524190,182970
529770,181150
529540,180660
527330,182640
530050,180310
525480,180790
526510,182280
525670,182190
525670,182190
527220,182100
526190,182560
528580,180930
530500,180760
528410,179690
527380,181470
527950,180680
529210,178190
529620,180940
529130,178910
528660,181140
528660,181140
530520,180910
529580,180830
526220,181280
527670,180920
530810,180730
530810,180730
525810,181360
525810,181360
525810,181360
529120,181250
529120,181250
525810,181360
530070,180610
526870,181900
526870,181900
528040,180610
528040,180610
528040,180610
525020,182380
528770,181850
526430,182380
527900,180810
528830,182200
528810,180370
527540,181040
529370,181300
525140,182310
527390,181960
529620,177950
529430,181310
527950,181960
527210,182780
526890,181390
525950,180600
525620,180810
528340,179840
524210,182400
529910,181040
527770,181910
526750,181270
530450,179660
530450,179660
529935,180478
529935,180478
528240,181060
528350,181520
527270,183080
527270,183080
530300,179660
530340,180310
528270,180330
526580,183660
529220,180810
525420,182380
530050,180400
530060,179670
525300,182000
526600,181010
526490,182340
526490,182340
528390,180160
528230,178420
528230,178420
530050,180310
528320,180260
527170,182230
530130,178460
525910,180610
528740,181920
528180,180440
528180,180440
528310,181270
527880,180850
528270,179540
528980,181360
528510,178180
528080,181140
528200,181060
528600,180800
529250,179810
530580,180860
529250,179190
528100,179140
528660,180660
526690,180760
526690,180760
525890,181490
527070,181960
527850,182240
527910,181990
528890,182190
528890,182190
528820,182200
530420,181220
529920,181040
530300,181100
523840,182600
523840,182510
526110,179640
527250,180870
527250,180870
528530,181340
529290,178770
528490,181110
528670,178680
530920,180990
528670,181150
529050,181100
530960,180770
530240,181950
527330,185500
525520,184590
525810,185270
525450,183580
527710,184760
526230,184800
525100,184040
525380,183660
526260,186430
528770,187276
530010,182680
529192,183562
530070,184267
530100,183150
529598,183494
528040,184390
527270,185550
527270,185550
526340,185790
529750,181880
529000,184950
530040,182750
526210,184880
529760,184630
529450,182650
529730,181930
528800,184060
528820,182700
527300,183530
527300,183530
530270,181530
527480,184970
528150,184970
529140,181930
528690,182900
525265,185692
528980,185410
528270,185630
528630,185750
529860,182310
526910,185480
529410,181670
529160,183350
528590,183670
529290,181910
529050,182420
528990,183885
525230,183820
529728,184879
528690,184700
529264,182308
531199,182035
529470,181930
529470,181930
526370,184110
529010,184130
528723,182602
525400,185220
530210,182900
529070,184410
528831,184715
529420,183460
529940,182380
529550,185180
530030,182210
529250,184300
528990,185050
529380,184220
530314,183674
528150,186540
526552,185650
530170,182120
526057,185087
528050,185521
529470,184564
529470,184564
529470,184564
528980,184870
528800,185510
530880,181920
528420,186110
530170,181340
529710,182670
529710,182670
529000,185180
528400,187370
530320,182970
530268,181538
530500,181750
526330,184670
529310,183970
529310,183970
525570,184920
528950,184590
530310,181730
529220,182490
530430,181520
529250,184080
528970,184530
530520,181490
529250,184300
529880,182240
525500,185480
529220,182480
527364,185485
528118,184607
526440,186800
529880,182670
529880,182670
529210,182710
531130,181610
526600,183900
530090,181290
529280,183400
526636,184110
526636,184110
529150,182180
530100,183480
528166,184968
530030,184570
526590,187130
525370,185620
528700,184820
525070,186030
525070,186030
525070,186030
530310,182970
530950,181950
527500,184410
527550,185440
525500,184520
529010,185180
529010,185180
531550,181650
528957,184365
528957,184365
529290,181920
529030,184150
525510,185460
525510,185460
528720,185580
529320,184380
529320,184380
529010,184580
529270,184930
528981,185283
528255,185443
528250,184770
